,GeoName,Description,Year,PriceParity
614,Idaho,Services: Rents,2010,77.6
615,Idaho,Services: Rents,2011,77.0
616,Idaho,Services: Rents,2012,78.8
617,Idaho,Services: Rents,2013,76.9
618,Idaho,Services: Rents,2014,79.6
619,Idaho,Services: Rents,2015,78.7
620,Idaho,Services: Rents,2016,77.5
621,Idaho,Services: Rents,2017,77.7
622,Idaho,Services: Rents,2018,80.1
623,Idaho,Services: Rents,2019,80.6
624,Illinois,All items,2008,100.2
625,Illinois,All items,2009,100.9
626,Illinois,All items,2010,100.9
627,Illinois,All items,2011,101.1
628,Illinois,All items,2012,100.7
629,Illinois,All items,2013,99.7
630,Illinois,All items,2014,99.3
631,Illinois,All items,2015,99.0
632,Illinois,All items,2016,98.7
633,Illinois,All items,2017,98.2
634,Illinois,All items,2018,97.8
635,Illinois,All items,2019,97.4
636,Illinois,Goods,2008,101.4
637,Illinois,Goods,2009,101.3
638,Illinois,Goods,2010,101.6
639,Illinois,Goods,2011,101.4
640,Illinois,Goods,2012,101.0
641,Illinois,Goods,2013,100.1
642,Illinois,Goods,2014,99.0
643,Illinois,Goods,2015,98.5
644,Illinois,Goods,2016,98.7
645,Illinois,Goods,2017,99.1
646,Illinois,Goods,2018,99.0
647,Illinois,Goods,2019,99.0
648,Illinois,Services: Other,2008,99.3
649,Illinois,Services: Other,2009,100.1
650,Illinois,Services: Other,2010,100.0
651,Illinois,Services: Other,2011,100.7
652,Illinois,Services: Other,2012,100.4
653,Illinois,Services: Other,2013,98.9
654,Illinois,Services: Other,2014,99.4
655,Illinois,Services: Other,2015,99.4
656,Illinois,Services: Other,2016,98.8
657,Illinois,Services: Other,2017,97.6
658,Illinois,Services: Other,2018,97.4
659,Illinois,Services: Other,2019,97.4
660,Illinois,Services: Rents,2008,99.4
661,Illinois,Services: Rents,2009,101.6
662,Illinois,Services: Rents,2010,101.4
663,Illinois,Services: Rents,2011,101.4
664,Illinois,Services: Rents,2012,100.4
665,Illinois,Services: Rents,2013,100.7
666,Illinois,Services: Rents,2014,99.5
667,Illinois,Services: Rents,2015,99.4
668,Illinois,Services: Rents,2016,98.4
669,Illinois,Services: Rents,2017,97.4
670,Illinois,Services: Rents,2018,96.5
671,Illinois,Services: Rents,2019,94.7
672,Indiana,All items,2008,91.2
673,Indiana,All items,2009,91.4
674,Indiana,All items,2010,91.4
675,Indiana,All items,2011,91.7
676,Indiana,All items,2012,91.4
677,Indiana,All items,2013,91.3
678,Indiana,All items,2014,90.8
679,Indiana,All items,2015,90.1
680,Indiana,All items,2016,89.7
681,Indiana,All items,2017,89.6
682,Indiana,All items,2018,89.2
683,Indiana,All items,2019,88.7
684,Indiana,Goods,2008,96.0
685,Indiana,Goods,2009,96.5
686,Indiana,Goods,2010,96.5
687,Indiana,Goods,2011,97.0
688,Indiana,Goods,2012,97.3
689,Indiana,Goods,2013,97.2
690,Indiana,Goods,2014,96.9
691,Indiana,Goods,2015,96.3
692,Indiana,Goods,2016,96.4
693,Indiana,Goods,2017,96.1
694,Indiana,Goods,2018,96.1
695,Indiana,Goods,2019,96.1
696,Indiana,Services: Other,2008,94.2
697,Indiana,Services: Other,2009,94.0
698,Indiana,Services: Other,2010,94.0
699,Indiana,Services: Other,2011,94.3
700,Indiana,Services: Other,2012,94.0
701,Indiana,Services: Other,2013,93.5
702,Indiana,Services: Other,2014,93.6
703,Indiana,Services: Other,2015,92.7
704,Indiana,Services: Other,2016,92.1
705,Indiana,Services: Other,2017,92.0
706,Indiana,Services: Other,2018,91.8
707,Indiana,Services: Other,2019,91.8
708,Indiana,Services: Rents,2008,77.5
709,Indiana,Services: Rents,2009,77.6
710,Indiana,Services: Rents,2010,76.6
711,Indiana,Services: Rents,2011,76.9
712,Indiana,Services: Rents,2012,75.7
713,Indiana,Services: Rents,2013,76.2
714,Indiana,Services: Rents,2014,75.6
715,Indiana,Services: Rents,2015,74.8
716,Indiana,Services: Rents,2016,73.7
717,Indiana,Services: Rents,2017,73.8
718,Indiana,Services: Rents,2018,74.3
719,Indiana,Services: Rents,2019,72.8
720,Iowa,All items,2008,88.6
721,Iowa,All items,2009,89.0
722,Iowa,All items,2010,89.2
723,Iowa,All items,2011,90.0
724,Iowa,All items,2012,90.2
725,Iowa,All items,2013,90.6
726,Iowa,All items,2014,90.3
727,Iowa,All items,2015,89.9
728,Iowa,All items,2016,90.0
729,Iowa,All items,2017,90.2
730,Iowa,All items,2018,89.4
